,Seg_Loss,Overall_Acc,Mean_IOU,Class_0,Class_1,seg_loss_train
0,0.9753515079617501,0.9942139304024833,0.650041050723438,0.9970830827951431,0.30646953694522383,0.7011014461517334
1,0.9756665855646134,0.9950418646676198,0.6643818947643595,0.9975025460124016,0.31649689823389054,0.40294083692133426
2,0.9777124971151352,0.9945923560006277,0.5877217059979073,0.997280216217041,0.18751664999872447,0.3415994975715876
3,0.9757092595100403,0.9957444305419921,0.6670921596806705,0.9978589296340943,0.33801047801971434,0.30753570422530174
4,0.9750420272350311,0.995426431928362,0.702300124232184,0.9976943016052247,0.39565967991948126,0.2621640797704458
5,0.9765185222029686,0.9949966670445033,0.5844885900599359,0.9974862188100815,0.17093794718384742,0.2551927577704191
6,0.9742730319499969,0.9930417480468752,0.6587141381344914,0.9964839607477188,0.35058850049972534,0.25794265493750573
7,0.9742977783083916,0.9959373277936663,0.7242023491007696,0.9979519113898278,0.4210207790136337,0.2232561308890581
8,0.9731755703687668,0.9933074842180524,0.6793212148055235,0.9966208681464195,0.44348501339554786,0.23736596144735814
9,0.9736652329564095,0.9959108309064592,0.7227448232173408,0.9979401528835297,0.47165366932749747,0.21274240389466287
10,0.9747079968452453,0.9961374500819616,0.7145227473125585,0.9980557337403297,0.44842176213860513,0.2096174418926239
11,0.9762073859572411,0.996410206386021,0.7281189384049462,0.9981912568211555,0.41950099021196363,0.2032752800732851
12,0.9741628333926201,0.9960828606741771,0.7212777596849896,0.9980268955230713,0.4520856685936451,0.19439671114087104
13,0.9738779455423355,0.996345124380929,0.7441115123436385,0.9981591328978539,0.5128882989287377,0.194582100212574
14,0.9758509069681167,0.9965105765206472,0.6913748694311488,0.9982451602816582,0.38489701636135576,0.1861956249922514
15,0.9744838789105416,0.9961213389805381,0.7091086821106021,0.9980469062924385,0.4088696073740721,0.19059744216501712
16,0.9716343462467194,0.9949476928710939,0.7088291923591158,0.997452725470066,0.4816310152411461,0.19756890460848808
17,0.9745479837059975,0.9955783277239121,0.6949823874996187,0.9977729216217994,0.41640042066574096,0.18631108179688455
18,0.9763273924589158,0.9953249740600585,0.6665482577249128,0.9976449459791183,0.36707025617361067,0.18117284961044788
19,0.9768970295786857,0.9966543143136161,0.7073314478948103,0.9983169719576835,0.37258232533931734,0.18165664933621883
20,0.9731830134987831,0.9958917421613419,0.7070413930501361,0.9979311227798462,0.4600487515330315,0.18222234770655632
21,0.9757335677742958,0.9966246861049106,0.7106789511091149,0.9983023032546043,0.41334090009331703,0.1735065385699272
22,0.9738181605935097,0.995640178135463,0.7067547174835769,0.9978042364120483,0.4485158011317253,0.16822771318256854
23,0.9741785317659378,0.9963889083862305,0.7447172287799705,0.9981801316142083,0.4977675274014473,0.1682307466864586
24,0.9731251299381256,0.9965203519548693,0.7383598920273305,0.9982479900121689,0.46880231276154516,0.1660255204886198
25,0.9735999271273613,0.9969551576886857,0.7675095811080357,0.9984664812684059,0.5262817442417145,0.1650862481445074
26,0.973741389811039,0.9964324972970149,0.7506579941320435,0.9982029765844345,0.5234544113278389,0.15956823267042636
27,0.9727014988660813,0.9967566364833287,0.7599002159039501,0.9983663529157638,0.5296537838876247,0.1561420328915119
28,0.9756147935986519,0.9965428782871795,0.7136641297806017,0.9982607901096344,0.4255235895514488,0.14958915524184704
29,0.9739808782935142,0.996418798174177,0.751075022541215,0.998194943368435,0.547921097278595,0.1424223218113184
30,0.9735813930630683,0.9965677697317942,0.7414866359575492,0.9982721760869027,0.46982608512043955,0.15122586488723755
31,0.9726062953472138,0.9969757254464285,0.7565660270849844,0.9984778374433517,0.5168063268065453,0.15716143026947976
