,Seg_Loss,Overall_Acc,Mean_IOU,Class_0,Class_1,seg_loss_train
6,0.6781930431723595,0.986271597968208,0.6767033491903812,0.9929570972919464,0.5198624849319458,0.7506913021206856
7,0.6545069321990014,0.988533979627821,0.693373955454781,0.9941245645284653,0.5624830417335034,0.7135860249400139
8,0.6260284334421158,0.987688079833984,0.6904224008066264,0.9937016308307648,0.5309713259339333,0.6843772701919079
9,0.6016241490840912,0.9887076602511936,0.6996163057608809,0.9942123785614967,0.5676054492592811,0.658699281513691
10,0.5630653172731399,0.9903699222140844,0.7160663911305007,0.9950715482234955,0.6106947988271714,0.605030108243227
11,0.5458729058504105,0.9914231736924914,0.718164410116252,0.9956250548362732,0.5980871453881264,0.5814710944890976
12,0.5282570287585259,0.9903989173041452,0.7110286421433865,0.9950965508818627,0.5844326920807361,0.5297202602028847
13,0.496873152256012,0.9911827002631292,0.718822329767885,0.9954991534352302,0.5888750404119492,0.505617442727089
14,0.46946715414524076,0.9909197947184243,0.7309474924418231,0.9953527227044106,0.6280312642455101,0.46109057366847994
15,0.45422362089157103,0.9921770138210719,0.7288218310328164,0.9960079163312912,0.6269214376807213,0.4305246345698833
16,0.44078988283872605,0.9916804097493491,0.7252186814823225,0.9957542046904564,0.6224670529365539,0.4063273325562477
17,0.4252327471971512,0.9915834011501736,0.7273871386643507,0.9956968992948532,0.6167486935853959,0.39318249225616453
18,0.43568543493747713,0.9928557383219401,0.7206366399154479,0.9963602691888809,0.6188041016459465,0.35907298848032954
19,0.38621665686368944,0.9935468733045789,0.7504470816253013,0.9967158675193787,0.6526661142706871,0.33517512008547784
20,0.3928515657782555,0.9924046919080945,0.735859503965788,0.996120223402977,0.6551007136702538,0.3150309547781944
21,0.39013282507658004,0.9923933698866101,0.7281969117835927,0.9961172088980674,0.6522288516163826,0.29247739166021347
22,0.3664826720952988,0.9931305643717447,0.7451196608807044,0.9964913979172707,0.6459128603339195,0.27577981650829314
23,0.398588065803051,0.9915815921359593,0.7159686814644327,0.9956976875662804,0.6192629963159562,0.2667856104671955
24,0.3782167285680771,0.9933821546766491,0.7295498989389892,0.9966319262981415,0.6331764847040177,0.24810137450695038
25,0.37543512135744095,0.9928545939127602,0.7268484652377932,0.996358647942543,0.6084076300263405,0.23693131878972054
26,0.37601007521152496,0.9929663255479599,0.7265471410250248,0.9964207783341408,0.617849600315094,0.2203560695052147
27,0.3858393058180809,0.9914617716471351,0.7145518988472598,0.9956429675221443,0.6073520049452782,0.2214010864496231
28,0.36394369304180146,0.9930391065809465,0.7274148928301346,0.9964527145028115,0.6273700341582298,0.20604296699166297
29,0.35761520117521284,0.9921886105007598,0.7273862796482804,0.9960113719105721,0.6439145922660827,0.19579484388232232
30,0.34019778966903685,0.9933825395372182,0.7385806204163228,0.9966308206319809,0.6379381254315376,0.19628079533576964
31,0.36243176013231276,0.9925871446397568,0.7245302462837317,0.9962219938635826,0.6247301623225212,0.18948668390512466
32,0.35719207376241685,0.9924797363281254,0.7239615378656932,0.9961647525429725,0.6269196309149265,0.18133415058255195
33,0.33558845072984694,0.9930684322781029,0.7377414674304509,0.9964645773172378,0.6529135599732399,0.1746179424226284
34,0.3304910957813263,0.9934102071126303,0.7408001576095772,0.9966412544250488,0.6651843205094338,0.16880372241139413
35,0.3461257219314575,0.9934202473958331,0.7302135918179011,0.9966486811637878,0.5774382926523686,0.16474227234721184
36,0.29961116164922713,0.9939001905653211,0.7616776961746183,0.996893759071827,0.6452224537730217,0.15552162230014802
37,0.29495098888874055,0.9938399369981553,0.76246366820436,0.9968653619289398,0.6568199828267097,0.1604030393064022
38,0.3150739759206772,0.9928529815673828,0.7458585967104112,0.996356226503849,0.6484477549791337,0.16079748496413232
39,0.3369268387556076,0.993628648546007,0.7335311176068456,0.9967531114816666,0.649947552382946,0.15396183207631112
40,0.32008912563323977,0.992730907864041,0.7414263765529003,0.996288426220417,0.6609665662050247,0.14506437107920647
41,0.27963147312402725,0.9944767337375218,0.7680575270154094,0.9971882596611976,0.6876883625984191,0.14758219495415686
42,0.3199798479676247,0.9939704742431639,0.7415258820086044,0.9969298705458641,0.667702678591013,0.14794355854392052
43,0.3349647641181946,0.993857937282986,0.7347862688356427,0.9968749731779099,0.6377190880477428,0.14328795447945594
44,0.3490232273936272,0.9935626949734155,0.7262322158826668,0.9967272043228149,0.6312856391072273,0.14378378242254258
45,0.32305697351694107,0.9931741061740448,0.7380657987316486,0.9965242132544517,0.6563513815402985,0.13383171409368516
46,0.32467677891254426,0.9932859920925564,0.7359768537726238,0.9965802550315856,0.6364806368947029,0.13863128051161766
47,0.32078427225351336,0.9939748772515189,0.7405758741023446,0.9969328135251999,0.6551512464880943,0.13407506421208382
48,0.33438327312469485,0.9930920613606773,0.7311162080513017,0.9964792937040329,0.6467561587691307,0.12512742429971696
49,0.28150724470615385,0.9946408284505208,0.7678812260353323,0.9972745791077614,0.6625818692147731,0.13051705062389374
50,0.37023880779743196,0.9931463707817925,0.7127590572086465,0.9965165227651596,0.6072978347539901,0.12665533497929574
51,0.2966630786657333,0.9940552758110895,0.7550855038533888,0.9969760060310364,0.6524359256029129,0.1264185644686222
52,0.33494317531585693,0.9936739027235244,0.7314905612738754,0.9967816352844239,0.6488593429327011,0.12262850031256675
53,0.315507647395134,0.9937834404839408,0.7426337345060423,0.9968352779746056,0.647092179954052,0.11942540556192398
54,0.3322457119822502,0.9932227834065754,0.7333456108532683,0.9965483829379082,0.6434720009565353,0.11671419441699982
55,0.34281438440084455,0.9935953623453779,0.7273142658652615,0.9967423141002655,0.6128444023430347,0.11806450486183166
56,0.2851722002029419,0.9941833089192709,0.7584150988513061,0.9970402836799621,0.6691645815968513,0.11477243229746818
